county,state,all_residential,sf_residential,multi_residential,percent_residential,percent_multi,commute_time_in_mins,percentage_car,percentage_public,percentage_walk,percentage_wfh,percentage_occupancy,percentage_vacant,owner_below_poverty,renter_below_poverty,crime_rate,unemployment,nationalParkCount,stateParkCovergae,costOfLiving,mentalHealth
miami,ohio,31232,29289,1943,0.9377881659836066,0.06221183401639344,0.0,0.0,0.0,0.0,0.0,0.9426934097421203,0.05730659025787966,2.4,31.7,21.0,0.0369,1,0.0011,67763.1,5.1
monroe,ohio,2061,2031,30,0.9854439592430859,0.01455604075691412,0.0,0.0,0.0,0.0,0.0,0.8056918547595682,0.1943081452404318,0.0,0.0,6.0,0.0683,1,0.0011,64757.37,5.7
montgomery,ohio,174287,157067,17220,0.9011974501827446,0.09880254981725545,42.3,0.8279240565669193,0.011934526134854285,0.01805219157746699,0.1282834596452848,0.9086087554617271,0.09139124453827284,4.4,27.3,36.0,0.042699999999999995,1,0.0011,66191.59,5.8
morgan,ohio,1964,1366,598,0.6955193482688391,0.3044806517311609,0.0,0.0,0.0,0.0,0.0,0.8082134955752213,0.19178650442477876,0.0,0.0,17.0,0.0562,1,0.0011,63421.61,5.7
morrow,ohio,4474,3656,818,0.8171658471166742,0.18283415288332588,0.0,0.0,0.0,0.0,0.0,0.9213653952459923,0.07863460475400774,0.0,0.0,1.0,0.0404,1,0.0011,68998.02,5.7
muskingum,ohio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9148287189113092,0.08517128108869075,4.7,20.4,31.0,0.045,1,0.0011,62605.13,5.7
noble,ohio,3928,3019,909,0.7685845213849287,0.23141547861507128,0.0,0.0,0.0,0.0,0.0,0.8215962441314554,0.1784037558685446,0.0,0.0,6.0,0.064,1,0.0011,63545.25,5.3
ottawa,ohio,28279,22344,5935,0.7901269493263553,0.20987305067364476,0.0,0.0,0.0,0.0,0.0,0.6206462442299623,0.37935375577003777,0.0,0.0,13.0,0.0554,1,0.0011,64179.45,5.3
paulding,ohio,3565,3374,191,0.9464235624123423,0.05357643758765778,0.0,0.0,0.0,0.0,0.0,0.8939929328621908,0.10600706713780919,0.0,0.0,9.0,0.0363,1,0.0011,63565.73,5.2
perry,ohio,5382,4321,1061,0.8028613898179116,0.19713861018208845,0.0,0.0,0.0,0.0,0.0,0.9084347012431493,0.09156529875685068,0.0,0.0,12.0,0.046,1,0.0011,64535.79,5.5
pickaway,ohio,10565,9218,1347,0.8725035494557501,0.12749645054424988,0.0,0.0,0.0,0.0,0.0,0.9388968353298767,0.06110316467012337,0.0,0.0,26.0,0.0384,1,0.0011,68157.17,5.4
pike,ohio,3224,2907,317,0.9016749379652605,0.09832506203473945,0.0,0.0,0.0,0.0,0.0,0.8895567242674681,0.11044327573253193,0.0,0.0,17.0,0.0535,1,0.0011,62829.56,5.6
portage,ohio,34217,28282,5935,0.8265482070315925,0.17345179296840751,27.5,0.0,0.0,0.0,0.0,0.9285714285714286,0.07142857142857142,3.7,30.6,16.0,0.04,1,0.0011,68259.73,5.1
preble,ohio,9143,8568,575,0.9371103576506618,0.06288964234933829,0.0,0.0,0.0,0.0,0.0,0.9070911402199746,0.09290885978002543,0.0,0.0,9.0,0.0348,1,0.0011,63553.62,5.2
putnam,ohio,11101,10762,339,0.9694622106116566,0.03053778938834339,0.0,0.0,0.0,0.0,0.0,0.9386574074074074,0.061342592592592594,0.0,0.0,5.0,0.031200000000000002,1,0.0011,63247.74,4.5
richland,ohio,31153,27386,3767,0.8790806663884698,0.12091933361153019,0.0,0.0,0.0,0.0,0.0,0.9226183925754741,0.07738160742452588,8.5,22.0,38.0,0.0473,1,0.0011,63661.85,5.4
ross,ohio,12209,11277,932,0.92366287165206,0.07633712834794004,0.0,0.0,0.0,0.0,0.0,0.916422378843635,0.083577621156365,2.3,27.6,43.0,0.039900000000000005,1,0.0011,63477.22,6.1
